arbol;cuadrante;sp;x;y;dbh;H
498;4;Pinus pinea;-1.066267998;-4.618514107;45.2;10.9
499;4;Pinus pinea;-4.073951173;-6.780193349;10.85;3.9
500;4;Quercus faginea;-5.858972841;-7.235228901;10.5;4.3
502;4;Pinus pinea;-8.725246207;-7.321350874;33.1;9
503;4;Quercus faginea;-6.567907163;-12.35243682;8.95;4.4
504;4;Pinus pinea;1.977678525;18.81635426;31.95;9.1
506;4;Quercus ilex;3.594841473;18.49385614;9.5;3.5
507;8;Pinus pinea;-6.385;11.05914441;44.9;11.6
508;4;Pinus pinea;-6.925501776;7.691548944;14.95;6
510;12;Quercus ilex;9.702393792;-10.77559997;8.1;4.4
512;4;Quercus faginea;3.132534448;-6.147945017;11.75;4.3
512;4;Quercus faginea;2.962554015;-6.353217587;12.15;4.9
513;4;Pinus pinea;-3.745821104;2.250716387;40.55;10.5
514;4;Quercus faginea;-8.005901258;0.841454129;9.25;4.4
515;4;Juniperus thurifera;-9.307227264;0.487771112;6.65;4.5
517;4;Juniperus thurifera;9.051021033;14.48466148;5.55;3.6
518;4;Juniperus thurifera;9.410410606;11.21489065;8.3;4.2
519;4;Pinus pinea;8.189114147;9.759406205;15.05;5.5
520;4;Pinus pinea;12.41032069;9.01662577;38.45;8.9
521;3;Juniperus thurifera;8.156531948;2.968734844;7.15;4.1
522;4;Pinus pinea;1.633917105;2.516011704;39.15;9.6
523;4;Quercus faginea;-1.597617861;4.916962189;9.9;5
524;4;Pinus pinea;-1.368100497;7.038266905;32.95;8.2
525;4;Quercus faginea;1.185352774;11.27787829;6;3.4
526;4;Pinus pinea;-1.703733421;13.8757952;17.15;6.1
527;4;Pinus pinea;-3.821918413;16.5545474;13.3;5
528;4;Quercus faginea;-2.762632653;17.4425761;9.45;4
529;4;Pinus pinea;-0.926869785;17.68572906;27.65;8.6
530;4;Quercus ilex;-4.790053533;19.21185538;8.7;4.3
531;4;Quercus ilex;8.843586211;-1.08585585;7.95;4.1
532;4;Quercus faginea;3.483836992;0.427761395;10;3.4
533;4;Quercus faginea;2.976260173;-1.202487165;7.95;4.8
534;4;Quercus faginea;-0.278714931;15.96756769;10.15;4.1
537;4;Quercus faginea;-0.845749053;16.13785328;8.9;5.1
538;14;Pinus pinea;-11.58280991;8.11037081;20.1;6.2
539;14;Pinus pinea;-4.765042053;-14.66529148;23.6;7.4
541;14;Pinus pinea;0;-18.47;32.5;9.2
543;14;Pinus pinea;3.184207534;8.7485383;38.5;11.1
544;14;Quercus faginea;0.264753006;15.16768954;11.9;5.2
548;14;Pinus pinea;2.351890424;22.37674265;19.75;7.3
549;14;Quercus faginea;0.885907217;12.66906344;9.45;3.8
550;14;Pinus pinea;-1.83654062;11.59546112;29.95;8.4
551;11;Pinus pinea;7.80058679;-14.07263109;49.35;10.7
2686;1;Juniperus thurifera;1.650630543;4.793779178;6.9;4
2687;1;Juniperus thurifera;2.356108705;5.550644266;6.65;3.6
2688;1;Pinus pinea;0.457602468;6.54402017;35.05;10.1
2689;1;Pinus pinea;10.47101016;12.47886398;39.75;8.8
2690;1;Juniperus thurifera;7.387201894;8.204318873;8.2;4.1
2691;1;Juniperus thurifera;-2.183601534;0.268112556;8.05;5.2
2693;1;Quercus faginea;-1.000170749;0.140564832;6.2;3.8
2694;1;Juniperus thurifera;-1.901314692;0.267212354;9.15;4.5
2695;1;Juniperus thurifera;-1.817280355;0.734228923;7.1;4.8
2696;1;Quercus faginea;-6.657177555;4.159866224;6.5;2.6
2697;1;Quercus faginea;-8.186440459;4.537818046;7.5;3.3
2698;1;Pinus pinea;-11.501774;9.998339602;36.7;10.3
2699;1;Pinus pinea;-13.65805835;6.368857204;31.65;7.4
2700;1;Quercus faginea;-4.285349174;9.189960961;4.05;3.6
2701;1;Quercus faginea;-5.190314378;10.64172151;6.7;4.1
2702;1;Quercus faginea;-2.775896011;12.0237266;4.95;3.8
2703;1;Juniperus thurifera;-6.338343561;15.68795082;7.2;4.2
2704;1;Quercus faginea;-2.484179305;15.68449085;10.6;3.9
2705;1;Pinus pinea;1.609766569;18.39971607;35.7;10.2
2706;1;Pinus pinea;6.201840506;21.62838816;14.4;5.9
2707;1;Quercus faginea;12.85076822;5.192047385;9.9;8.2
2708;1;Pinus pinea;-18.4727595;14.9589457;32.9;9
2709;1;Pinus pinea;-2.368807717;-2.368807717;5.6;2.8
2710;1;Juniperus thurifera;-0.805727544;-4.569507974;5.2;4.2
2711;1;Pinus pinea;0.93716701;-3.268289766;10.45;4.3
2712;5;Pinus pinea;2.136189508;7.449778144;34;10
2713;5;Quercus faginea;1.087096018;10.34302771;6.85;3.5
2714;5;Pinus pinea;-2.85462888;12.36475612;28.6;9
2715;5;Pinus pinea;0.566069837;16.21011921;6.4;3.5
2716;6;Pinus pinea;-4.659216672;-2.69;43.35;11.8
2717;6;Pinus pinea;-11.71821499;-0.204542203;12.9;5.2
2718;6;Pinus pinea;-14.16540951;0.990541927;16.85;5.9
2719;5;Pinus pinea;-13.08185815;-9.160015689;42.65;9.9
2720;5;Pinus pinea;4.266867548;-3.580326986;31.55;8.7
2721;5;Pinus pinea;11.0873113;8.662356958;21.9;6.5
2722;5;Quercus faginea;18.23269815;11.84045262;14.75;4.9
2723;5;Pinus pinea;10.54009417;16.86767663;37.25;10
2724;5;Pinus pinea;5.404188679;14.07839283;37.5;9.3
2725;5;Quercus faginea;6.269229227;17.22456574;9.2;4.7
2726;5;Pinus pinea;3.905886918;-8.008254953;39.15;10.4
